Star,Rg,e_Rg
AAGem,11.454,0.45899999999999996
DRVel,8.054,0.439
TXMon,11.79,0.452
ADGem,10.662,0.455
EKMon,9.96,0.45299999999999996
TYMon,11.18,0.451
ADPup,10.588,0.434
EZVel,12.119000000000002,0.358
TZMon,11.183,0.451
AHVel,8.074,0.45
HWPup,13.554,0.436
UXCar,7.6979999999999995,0.444
AOAur,11.835,0.461
lCar,7.845,0.451
UYMon,10.539000000000001,0.45899999999999996
AOCMa,10.43,0.433
MYPup,8.096,0.45
UZSct,5.309,0.44799999999999995
APPup,8.234,0.449
RSOri,9.47,0.45299999999999996
V340Ara,4.657,0.42700000000000005
AQCar,7.6579999999999995,0.425
RSPup,8.585,0.444
V397Car,7.678999999999999,0.447
AQPup,9.472000000000001,0.436
RYCMa,8.796,0.45
V495Mon,12.097999999999999,0.45299999999999996
ATPup,8.484,0.445
RYVel,7.774,0.43200000000000005
V508Mon,10.714,0.452
AVSgr,5.98,0.45399999999999996
RZCMa,9.162,0.44799999999999995
V510Mon,12.55,0.456
AVTau,10.809000000000001,0.457
RZGem,9.972999999999999,0.45399999999999996
VCar,7.915,0.447
AXAur,11.955,0.461
RZVel,8.249,0.445
VVel,7.888,0.44799999999999995
AXVel,8.12,0.44799999999999995
STTau,8.897,0.452
VXPup,8.718,0.449
BEMon,9.609,0.452
STVel,8.158,0.442
VYCar,7.627000000000001,0.441
BGVel,8.0,0.446
SVMon,10.07,0.45299999999999996
VYSgr,5.862,0.45299999999999996
BKAur,10.207,0.45299999999999996
SWVel,8.457,0.433
VZPup,10.867,0.425
BNPup,9.93,0.428
SXVel,8.334,0.439
WWMon,13.175999999999998,0.46299999999999997
BVMon,10.398,0.452
SYAur,10.270999999999999,0.45399999999999996
WXPup,9.351,0.441
CSOri,11.700999999999999,0.45799999999999996
TVel,8.084,0.44799999999999995
XXMon,11.854000000000001,0.451
CVMon,9.362,0.452
TWCMa,9.788,0.445
YAur,9.692,0.45299999999999996
TWMon,13.059000000000001,0.457
YZAur,11.668,0.45899999999999996
